Date_Time,Work_Volume,Schedule_Adherence_Percent,Event_Scheduling_Needed,Average_Handling_Time_sec,Latency_sec,Utilization_Rate_Percent,Shrinkage_Rate_Percent,Attendance_Rate_Percent,Overstaffing_Indicator,Understaffing_Indicator,Service_Level_Compliance_Percent
2023-01-08 02:42:11.900654,15,93.42,0,174,37,72.76,10.8,87.82,1,1,89.92
2023-01-08 02:43:11.900654,21,94.65,0,121,38,65.44,13.33,89.41,0,0,88.0
2023-01-08 02:44:11.900654,14,91.15,1,156,34,64.51,19.86,90.92,1,1,92.0
2023-01-08 02:45:11.900654,14,94.19,0,217,34,60.59,12.88,97.67,0,0,78.49
2023-01-08 02:46:11.900654,22,93.82,0,121,32,61.33,14.32,91.35,1,0,98.48
2023-01-08 02:47:11.900654,15,81.17,1,132,33,76.49,12.63,89.7,1,0,71.44
2023-01-08 02:48:11.900654,12,94.67,0,194,30,85.27,12.76,94.28,0,0,78.93
2023-01-08 02:49:11.900654,25,99.43,0,183,31,91.45,11.4,90.59,0,1,87.13
2023-01-08 02:50:11.900654,20,97.09,0,147,33,62.1,12.54,95.9,0,1,95.14
2023-01-08 02:51:11.900654,17,87.25,0,171,31,64.84,14.75,99.62,0,0,96.94
2023-01-08 02:52:11.900654,12,94.62,0,209,29,93.51,16.15,88.52,0,1,86.26
2023-01-08 02:53:11.900654,14,96.13,0,180,32,66.16,14.06,97.62,1,1,89.79
2023-01-08 02:54:11.900654,9,99.58,0,185,34,92.31,19.85,99.89,1,1,74.19
2023-01-08 02:55:11.900654,18,88.83,1,135,32,93.83,17.42,96.2,1,1,83.34
2023-01-08 02:56:11.900654,16,91.02,0,188,30,62.87,15.31,89.74,0,0,94.7
2023-01-08 02:57:11.900654,19,83.08,1,190,27,75.0,10.59,89.56,1,0,72.09
2023-01-08 02:58:11.900654,12,81.04,0,133,29,70.69,12.66,88.62,0,0,86.97
2023-01-08 02:59:11.900654,16,98.93,0,190,15,81.95,10.43,87.91,0,0,85.15
2023-01-08 03:00:11.900654,8,96.34,0,188,35,88.78,18.79,85.32,0,0,84.57
2023-01-08 03:01:11.900654,10,92.07,0,209,27,72.32,16.18,89.7,1,0,83.06
2023-01-08 03:02:11.900654,14,96.81,0,176,28,60.68,11.33,95.25,1,0,84.55
2023-01-08 03:03:11.900654,19,93.61,0,171,28,68.42,17.68,96.53,1,0,86.62
2023-01-08 03:04:11.900654,18,99.28,1,171,36,80.44,14.69,98.8,0,1,72.92
2023-01-08 03:05:11.900654,12,91.25,0,216,33,78.93,12.71,87.61,0,0,81.15
2023-01-08 03:06:11.900654,19,88.69,0,253,29,72.41,15.17,91.99,0,0,98.22
2023-01-08 03:07:11.900654,15,93.24,0,117,27,82.79,11.0,98.73,1,1,98.71
2023-01-08 03:08:11.900654,26,91.29,0,190,31,77.2,12.76,96.74,1,0,97.97
2023-01-08 03:09:11.900654,18,82.29,0,151,33,76.59,15.26,95.63,0,1,94.74
2023-01-08 03:10:11.900654,12,87.39,0,249,31,86.21,19.09,94.52,1,0,93.57
2023-01-08 03:11:11.900654,16,89.28,1,239,34,67.06,18.7,91.29,0,0,73.58
2023-01-08 03:12:11.900654,21,99.15,1,146,36,63.55,11.29,99.06,0,0,76.26
2023-01-08 03:13:11.900654,12,84.58,0,222,28,69.43,13.83,94.07,0,1,70.38
2023-01-08 03:14:11.900654,17,80.53,1,249,29,65.44,18.39,89.52,0,0,74.73
2023-01-08 03:15:11.900654,20,83.63,1,102,27,93.05,13.34,89.33,0,0,74.41
2023-01-08 03:16:11.900654,23,94.38,0,227,29,71.43,10.88,96.06,1,1,96.96
2023-01-08 03:17:11.900654,8,81.9,0,191,35,89.71,19.75,99.13,0,0,98.3
2023-01-08 03:18:11.900654,16,81.78,0,168,34,77.42,10.27,91.69,0,0,87.62
2023-01-08 03:19:11.900654,14,80.25,0,140,31,90.98,19.93,93.47,0,0,74.68
2023-01-08 03:20:11.900654,22,81.45,0,165,20,71.28,14.09,88.86,1,1,82.1
2023-01-08 03:21:11.900654,20,91.9,1,194,32,80.66,18.91,91.02,0,0,78.58
2023-01-08 03:22:11.900654,15,85.58,1,209,36,87.62,13.99,93.34,0,0,91.35
2023-01-08 03:23:11.900654,16,86.39,0,181,34,84.53,16.17,86.03,0,1,77.48
2023-01-08 03:24:11.900654,14,98.78,0,263,27,78.14,16.89,87.11,0,1,91.51
2023-01-08 03:25:11.900654,17,82.06,0,162,41,89.67,17.43,96.13,0,1,98.45
2023-01-08 03:26:11.900654,17,80.69,0,231,37,80.75,13.6,95.8,1,1,93.02
2023-01-08 03:27:11.900654,17,88.47,1,173,26,87.04,15.0,97.85,0,0,79.69
2023-01-08 03:28:11.900654,18,83.92,1,166,34,71.58,19.92,86.04,0,0,84.53
2023-01-08 03:29:11.900654,12,89.29,0,165,34,62.61,15.41,89.74,1,0,86.59
2023-01-08 03:30:11.900654,16,82.49,0,180,36,93.97,11.09,96.8,0,1,84.23
2023-01-08 03:31:11.900654,15,89.15,0,156,34,67.84,18.01,90.72,0,0,77.45
2023-01-08 03:32:11.900654,16,90.31,1,153,21,67.29,13.61,87.94,0,1,82.59
2023-01-08 03:33:11.900654,10,85.94,0,222,28,90.02,14.84,92.14,1,1,71.34
2023-01-08 03:34:11.900654,20,99.19,0,188,37,91.83,17.77,93.26,0,1,89.73
2023-01-08 03:35:11.900654,16,82.71,0,266,31,75.3,16.23,95.38,1,0,94.11
2023-01-08 03:36:11.900654,13,81.66,0,168,29,64.8,18.48,88.87,0,1,76.56
2023-01-08 03:37:11.900654,10,97.87,0,144,34,68.77,10.02,88.35,0,1,76.71
2023-01-08 03:38:11.900654,12,93.61,0,232,30,68.46,13.12,90.5,0,0,90.21
2023-01-08 03:39:11.900654,21,84.51,0,200,35,76.18,11.52,97.4,0,1,87.23
2023-01-08 03:40:11.900654,19,86.31,0,246,37,94.3,16.53,92.66,0,1,91.63
2023-01-08 03:41:11.900654,18,99.68,0,190,24,78.29,19.01,91.59,1,1,98.76
2023-01-08 03:42:11.900654,23,83.52,0,122,26,90.58,16.15,92.4,0,0,81.78
2023-01-08 03:43:11.900654,16,98.38,0,162,44,84.09,13.61,89.01,0,0,81.72
2023-01-08 03:44:11.900654,19,97.71,0,165,27,89.51,15.0,98.61,0,1,76.12
2023-01-08 03:45:11.900654,11,88.69,0,162,34,83.22,18.93,89.24,0,1,72.98
2023-01-08 03:46:11.900654,14,87.03,0,171,25,68.55,15.88,94.81,0,0,91.93
2023-01-08 03:47:11.900654,10,99.05,0,187,28,61.01,15.1,90.07,0,1,98.1
2023-01-08 03:48:11.900654,11,84.92,0,159,25,71.1,17.59,98.43,0,0,73.47
2023-01-08 03:49:11.900654,20,86.75,0,102,33,73.32,13.33,85.6,1,1,89.2
2023-01-08 03:50:11.900654,18,86.1,0,147,22,84.86,17.82,88.91,0,0,77.94
2023-01-08 03:51:11.900654,15,99.9,1,214,25,61.82,13.18,95.94,0,1,76.79
2023-01-08 03:52:11.900654,15,92.44,0,173,37,82.77,10.48,98.3,0,0,91.59
2023-01-08 03:53:11.900654,18,91.88,0,190,30,90.66,12.51,94.01,0,0,98.37
2023-01-08 03:54:11.900654,13,88.79,1,250,26,91.22,15.76,89.72,0,0,77.73
2023-01-08 03:55:11.900654,13,88.06,0,95,29,85.43,14.74,95.24,1,0,73.16
2023-01-08 03:56:11.900654,13,88.47,1,125,30,74.76,15.72,87.98,0,1,88.23
2023-01-08 03:57:11.900654,18,89.02,0,170,36,70.23,10.02,92.94,1,0,90.38
2023-01-08 03:58:11.900654,16,99.1,0,188,39,89.19,12.97,90.7,0,0,70.51
2023-01-08 03:59:11.900654,11,98.58,0,104,24,79.2,10.82,89.76,0,0,99.7
2023-01-08 04:00:11.900654,19,98.59,0,160,35,77.79,16.71,97.34,0,1,84.61
2023-01-08 04:01:11.900654,20,96.94,0,169,28,66.5,17.85,90.01,0,0,96.69
2023-01-08 04:02:11.900654,16,98.07,1,145,27,69.03,16.36,89.82,0,0,73.77
2023-01-08 04:03:11.900654,22,91.21,0,172,27,86.48,17.47,93.92,1,1,90.4
2023-01-08 04:04:11.900654,19,88.3,0,226,31,87.46,19.34,89.71,0,1,79.3
2023-01-08 04:05:11.900654,12,94.26,1,155,38,63.52,14.83,94.83,0,1,97.97
2023-01-08 04:06:11.900654,20,86.45,0,150,35,68.85,12.68,98.37,0,0,86.04
2023-01-08 04:07:11.900654,12,93.75,0,164,30,82.62,13.86,92.89,0,0,87.84
2023-01-08 04:08:11.900654,11,83.85,0,178,32,72.95,19.34,88.75,1,0,78.86
2023-01-08 04:09:11.900654,17,83.23,0,108,44,61.17,10.96,90.68,0,0,74.88
2023-01-08 04:10:11.900654,10,82.27,0,281,33,78.97,15.52,86.84,0,1,99.01
2023-01-08 04:11:11.900654,8,88.32,0,191,32,74.76,16.64,88.5,0,0,79.22
2023-01-08 04:12:11.900654,14,93.94,0,141,28,85.77,13.75,90.29,0,0,80.37
2023-01-08 04:13:11.900654,16,96.74,0,136,24,62.27,15.35,92.25,0,0,86.73
2023-01-08 04:14:11.900654,13,85.74,1,271,29,84.06,17.91,88.37,1,1,99.63
2023-01-08 04:15:11.900654,19,91.55,0,202,26,60.18,19.4,96.9,1,0,93.49
2023-01-08 04:16:11.900654,14,93.96,0,210,32,70.17,14.15,95.21,1,1,71.23
2023-01-08 04:17:11.900654,20,99.11,1,207,31,72.19,13.51,93.31,1,0,91.63
2023-01-08 04:18:11.900654,15,88.81,0,213,33,75.43,13.49,89.12,1,0,78.02
2023-01-08 04:19:11.900654,14,87.73,0,212,23,71.35,18.44,96.02,0,0,86.06
2023-01-08 04:20:11.900654,10,97.63,1,113,23,64.41,15.45,93.74,1,1,86.61
2023-01-08 04:21:11.900654,14,97.22,0,154,31,86.24,11.05,86.53,0,0,72.16
2023-01-08 04:22:11.900654,14,87.32,0,158,35,92.33,18.59,99.22,0,0,98.31
2023-01-08 04:23:11.900654,16,84.63,0,126,31,80.97,11.69,87.54,0,0,84.91
2023-01-08 04:24:11.900654,20,88.41,0,200,22,63.81,18.89,87.19,0,1,83.99
2023-01-08 04:25:11.900654,19,86.49,0,205,26,63.22,14.5,96.61,1,1,95.63
2023-01-08 04:26:11.900654,21,99.71,0,154,30,65.42,10.53,85.99,0,0,70.12
2023-01-08 04:27:11.900654,12,91.39,0,194,31,86.54,10.94,91.94,1,0,81.15
2023-01-08 04:28:11.900654,14,82.44,0,244,23,86.71,14.87,89.94,1,0,77.16
2023-01-08 04:29:11.900654,7,80.8,0,160,40,66.47,12.6,95.81,0,1,95.95
2023-01-08 04:30:11.900654,16,91.77,1,207,37,93.31,18.68,96.44,0,0,88.6
2023-01-08 04:31:11.900654,12,94.99,0,171,29,79.77,17.24,86.67,0,1,99.12
2023-01-08 04:32:11.900654,18,93.39,1,185,29,88.78,16.46,88.94,0,0,88.23
2023-01-08 04:33:11.900654,12,99.15,0,157,29,62.76,10.56,96.55,0,0,96.41
2023-01-08 04:34:11.900654,18,94.87,0,264,22,93.42,16.43,99.87,1,0,77.7
2023-01-08 04:35:11.900654,20,82.62,0,140,33,82.26,14.46,87.43,0,1,97.1
2023-01-08 04:36:11.900654,13,84.03,0,157,28,75.62,12.22,96.16,1,0,85.96
2023-01-08 04:37:11.900654,6,86.97,1,232,31,67.43,16.74,90.63,0,1,95.74
2023-01-08 04:38:11.900654,15,97.82,0,157,26,77.86,10.97,85.12,1,1,91.01
2023-01-08 04:39:11.900654,13,80.06,0,292,21,94.13,13.61,91.37,1,0,79.79
2023-01-08 04:40:11.900654,8,88.61,0,156,28,64.63,15.0,87.77,1,1,82.93
2023-01-08 04:41:11.900654,8,87.86,0,243,39,60.63,16.68,90.16,0,1,87.26
2023-01-08 04:42:11.900654,17,96.89,1,239,31,64.25,18.98,99.98,0,0,92.74
2023-01-08 04:43:11.900654,19,87.66,0,192,31,87.13,15.93,91.88,0,0,97.38
2023-01-08 04:44:11.900654,20,87.5,0,131,27,89.56,17.89,99.76,1,0,92.11
2023-01-08 04:45:11.900654,21,83.49,0,180,40,87.97,17.06,90.22,1,0,79.73
2023-01-08 04:46:11.900654,15,93.76,0,174,32,64.07,12.65,95.96,0,1,72.21
2023-01-08 04:47:11.900654,17,82.21,1,131,19,75.89,16.2,89.5,0,0,96.56
2023-01-08 04:48:11.900654,21,94.02,0,206,22,89.4,11.53,88.96,1,1,97.18
2023-01-08 04:49:11.900654,16,93.32,0,94,32,69.68,14.56,89.26,0,0,80.43
2023-01-08 04:50:11.900654,17,99.06,0,153,33,91.97,18.24,86.07,1,0,71.03
2023-01-08 04:51:11.900654,19,87.44,0,167,26,74.25,16.37,87.93,1,0,76.14
2023-01-08 04:52:11.900654,23,94.74,0,176,31,70.87,15.67,90.27,0,0,84.19
2023-01-08 04:53:11.900654,15,93.44,0,187,26,65.35,19.89,98.33,1,0,84.61
2023-01-08 04:54:11.900654,11,83.31,0,214,30,89.5,14.73,92.4,0,0,71.13
2023-01-08 04:55:11.900654,19,83.16,1,144,25,64.27,12.18,86.31,0,0,90.9
2023-01-08 04:56:11.900654,13,89.96,0,198,34,67.1,11.24,96.95,1,0,82.63
2023-01-08 04:57:11.900654,15,90.36,0,206,30,79.94,18.66,94.87,0,1,91.89
2023-01-08 04:58:11.900654,16,98.44,0,144,23,91.23,19.58,97.23,0,1,79.64
2023-01-08 04:59:11.900654,14,87.02,0,115,38,67.38,11.41,86.12,1,0,70.13
2023-01-08 05:00:11.900654,9,85.12,0,201,27,69.46,11.08,88.28,0,1,89.77
2023-01-08 05:01:11.900654,10,96.8,0,183,31,81.91,13.82,96.23,0,0,83.44
2023-01-08 05:02:11.900654,15,81.47,0,218,23,64.06,14.01,87.9,0,0,87.96
2023-01-08 05:03:11.900654,17,80.31,0,164,25,68.03,14.04,98.7,0,1,86.12
2023-01-08 05:04:11.900654,24,96.82,0,164,31,68.61,11.7,97.76,1,1,87.83
2023-01-08 05:05:11.900654,21,98.49,0,90,33,73.83,12.55,94.62,0,1,85.16
2023-01-08 05:06:11.900654,15,82.11,1,136,31,90.26,17.04,95.79,0,0,91.46
2023-01-08 05:07:11.900654,16,85.62,0,149,32,64.86,11.08,94.62,1,1,79.17
2023-01-08 05:08:11.900654,15,84.39,0,189,25,79.22,12.06,94.71,1,0,84.33
2023-01-08 05:09:11.900654,11,83.77,0,165,30,79.33,17.17,90.8,1,0,74.58
2023-01-08 05:10:11.900654,14,92.09,1,175,32,76.65,18.97,97.41,0,1,81.22
2023-01-08 05:11:11.900654,14,92.32,0,182,24,88.3,10.7,87.88,1,0,93.16
2023-01-08 05:12:11.900654,17,93.24,0,166,34,76.65,16.0,94.35,0,1,87.6
2023-01-08 05:13:11.900654,15,93.9,0,192,27,67.62,10.34,86.5,0,1,92.82
2023-01-08 05:14:11.900654,18,89.55,0,148,31,88.42,16.71,99.7,0,1,75.52
2023-01-08 05:15:11.900654,17,81.87,0,252,37,69.08,16.71,95.17,0,0,80.19
2023-01-08 05:16:11.900654,16,99.12,0,116,21,63.6,19.98,86.0,0,1,77.1
2023-01-08 05:17:11.900654,14,85.1,0,157,38,73.61,11.73,90.88,0,0,77.82
2023-01-08 05:18:11.900654,19,92.28,0,204,32,65.7,15.57,93.87,1,1,77.06
2023-01-08 05:19:11.900654,14,90.15,0,167,20,71.42,19.52,88.34,0,1,90.89
2023-01-08 05:20:11.900654,16,86.55,0,140,30,62.04,12.51,92.54,0,0,70.47
2023-01-08 05:21:11.900654,9,90.86,0,239,25,78.18,11.62,99.1,0,0,93.17
2023-01-08 05:22:11.900654,8,88.56,0,217,28,88.6,16.95,91.01,1,1,74.09
2023-01-08 05:23:11.900654,23,85.72,0,156,31,72.24,16.94,85.76,0,1,70.22
2023-01-08 05:24:11.900654,15,92.31,0,229,26,79.01,14.79,85.7,0,1,90.28
2023-01-08 05:25:11.900654,22,80.53,0,171,28,60.34,15.65,95.23,0,0,88.73
2023-01-08 05:26:11.900654,14,90.65,1,116,27,83.03,16.06,85.39,0,0,75.14
2023-01-08 05:27:11.900654,13,85.79,1,180,35,80.91,13.73,92.31,1,1,84.11
2023-01-08 05:28:11.900654,14,92.81,0,218,30,62.13,12.24,87.69,1,1,99.88
2023-01-08 05:29:11.900654,16,84.9,0,174,32,73.76,14.3,90.21,0,0,84.36
2023-01-08 05:30:11.900654,25,86.65,0,177,39,63.91,11.67,95.18,0,1,73.2
2023-01-08 05:31:11.900654,15,91.36,0,156,32,61.14,11.46,90.97,0,0,81.64
2023-01-08 05:32:11.900654,15,84.46,0,187,27,86.48,17.92,99.27,0,1,89.37
2023-01-08 05:33:11.900654,13,90.24,0,196,30,91.27,15.51,94.47,0,0,71.77
2023-01-08 05:34:11.900654,11,85.4,1,191,26,92.96,17.26,98.13,0,1,88.73
2023-01-08 05:35:11.900654,16,84.24,0,186,29,86.08,17.46,95.89,1,1,75.1
2023-01-08 05:36:11.900654,11,82.76,1,92,31,72.55,18.6,97.95,0,0,88.8
2023-01-08 05:37:11.900654,14,99.31,0,205,34,87.63,12.21,90.34,1,0,70.53
2023-01-08 05:38:11.900654,22,82.58,1,156,23,81.65,17.0,90.27,0,0,93.99
2023-01-08 05:39:11.900654,16,89.63,0,143,25,61.86,13.18,90.3,1,1,84.38
2023-01-08 05:40:11.900654,12,84.34,0,110,38,63.0,15.61,93.89,0,1,76.78
2023-01-08 05:41:11.900654,17,83.04,0,188,20,66.1,13.26,87.29,0,0,79.05
2023-01-08 05:42:11.900654,13,90.06,0,169,35,77.96,14.22,96.29,0,0,89.78
2023-01-08 05:43:11.900654,12,92.68,0,161,29,73.18,11.7,98.61,0,0,96.03
2023-01-08 05:44:11.900654,21,93.18,0,159,25,64.52,16.73,87.53,0,1,81.1
2023-01-08 05:45:11.900654,17,98.62,1,185,24,87.5,14.91,98.18,1,0,79.21
2023-01-08 05:46:11.900654,11,89.85,0,141,27,64.16,18.75,98.93,0,0,94.07
2023-01-08 05:47:11.900654,10,85.61,0,182,22,79.12,16.04,94.57,1,0,84.11
2023-01-08 05:48:11.900654,14,98.91,0,216,25,68.69,13.91,85.1,0,0,92.71
2023-01-08 05:49:11.900654,19,92.58,1,144,35,72.43,16.62,85.32,1,1,76.48
2023-01-08 05:50:11.900654,19,93.13,0,215,32,87.4,15.51,85.24,0,0,86.05
2023-01-08 05:51:11.900654,17,98.0,0,172,31,79.08,19.23,99.7,1,0,97.53
2023-01-08 05:52:11.900654,18,92.97,0,120,31,65.67,18.75,99.76,0,0,96.24
2023-01-08 05:53:11.900654,16,83.19,0,158,26,87.83,16.01,89.99,0,0,76.61
2023-01-08 05:54:11.900654,15,93.87,0,181,26,94.47,14.54,92.51,0,1,77.32
2023-01-08 05:55:11.900654,16,91.11,0,178,31,62.97,11.67,88.76,0,0,87.34
2023-01-08 05:56:11.900654,16,87.87,0,178,23,63.44,12.88,99.26,1,0,98.49
2023-01-08 05:57:11.900654,14,84.09,0,89,19,70.45,11.06,98.92,0,1,70.05
2023-01-08 05:58:11.900654,15,80.85,0,170,29,82.83,19.34,96.51,1,0,74.28
2023-01-08 05:59:11.900654,11,96.86,1,178,22,70.48,13.17,91.74,0,0,97.88
2023-01-08 06:00:11.900654,13,99.54,0,136,27,84.17,16.6,87.57,0,1,99.03
2023-01-08 06:01:11.900654,21,90.12,1,177,34,84.38,13.43,92.13,0,0,70.47
2023-01-08 06:02:11.900654,17,89.16,0,173,30,94.99,17.19,97.7,1,0,95.33
2023-01-08 06:03:11.900654,24,96.59,0,109,27,67.2,16.67,89.9,1,0,83.89
2023-01-08 06:04:11.900654,17,94.82,0,137,25,63.05,15.1,97.86,1,0,97.97
2023-01-08 06:05:11.900654,11,81.22,0,201,32,62.52,11.01,90.91,0,1,88.43
2023-01-08 06:06:11.900654,12,86.63,0,163,19,76.22,10.46,86.58,1,1,94.97
2023-01-08 06:07:11.900654,17,97.46,1,239,29,86.15,12.39,86.62,1,0,76.73
2023-01-08 06:08:11.900654,6,93.14,0,134,42,70.88,13.44,92.68,0,0,93.41
2023-01-08 06:09:11.900654,10,94.48,0,142,25,68.45,13.38,90.89,0,1,71.83
2023-01-08 06:10:11.900654,21,82.4,0,224,21,76.63,17.43,91.2,1,1,79.73
2023-01-08 06:11:11.900654,15,98.17,0,192,21,93.13,17.02,92.3,0,0,76.16
2023-01-08 06:12:11.900654,12,92.27,1,162,32,76.42,16.09,85.52,0,0,83.51
2023-01-08 06:13:11.900654,18,88.27,0,256,26,81.4,19.13,98.64,1,0,73.0
2023-01-08 06:14:11.900654,16,87.84,0,186,32,60.75,12.37,96.67,0,1,94.32
2023-01-08 06:15:11.900654,12,82.82,1,173,24,60.37,15.7,91.9,0,1,75.94
2023-01-08 06:16:11.900654,20,84.58,0,226,24,81.41,14.69,87.43,0,0,95.34
2023-01-08 06:17:11.900654,14,96.35,0,163,29,84.81,18.71,91.16,1,0,92.72
2023-01-08 06:18:11.900654,17,86.73,0,183,27,94.59,15.6,98.96,0,0,74.39
2023-01-08 06:19:11.900654,16,86.78,0,204,34,62.36,12.35,92.56,0,1,91.99
2023-01-08 06:20:11.900654,16,90.46,0,169,26,92.03,16.27,97.29,1,0,75.96
2023-01-08 06:21:11.900654,9,88.41,0,222,30,94.71,13.5,90.87,0,1,89.95
2023-01-08 06:22:11.900654,14,99.14,0,160,26,69.06,10.71,97.84,1,0,98.39
2023-01-08 06:23:11.900654,13,83.42,0,127,26,82.86,18.28,94.51,0,0,91.51
2023-01-08 06:24:11.900654,20,99.14,0,242,37,79.56,10.03,91.37,0,0,96.44
2023-01-08 06:25:11.900654,16,84.24,0,193,26,64.02,10.62,87.36,1,1,90.81
2023-01-08 06:26:11.900654,19,81.94,0,133,25,85.92,13.84,88.83,1,0,74.7
2023-01-08 06:27:11.900654,14,85.2,0,158,25,93.58,17.56,94.71,0,1,98.74
2023-01-08 06:28:11.900654,16,86.22,0,194,28,84.96,18.21,97.42,1,0,94.28
2023-01-08 06:29:11.900654,15,96.37,0,225,22,85.64,10.8,85.37,1,1,87.46
2023-01-08 06:30:11.900654,18,95.24,0,195,32,84.06,18.43,95.25,0,1,86.32
2023-01-08 06:31:11.900654,9,97.78,1,185,40,94.72,16.82,99.57,0,0,71.4
2023-01-08 06:32:11.900654,8,96.39,0,117,29,64.02,18.57,88.84,1,1,81.6
2023-01-08 06:33:11.900654,11,88.09,0,168,35,76.79,14.73,86.19,0,0,70.41
2023-01-08 06:34:11.900654,16,87.7,1,217,36,64.07,19.64,86.8,0,1,88.81
2023-01-08 06:35:11.900654,16,96.86,0,154,35,91.75,15.48,87.59,0,1,81.95
2023-01-08 06:36:11.900654,13,90.34,0,131,31,83.02,15.76,97.51,0,0,79.4
2023-01-08 06:37:11.900654,20,93.71,0,155,36,93.86,19.75,95.79,1,1,96.94
2023-01-08 06:38:11.900654,9,99.57,0,211,33,71.53,15.97,96.48,1,1,74.09
2023-01-08 06:39:11.900654,16,99.74,0,221,35,69.67,13.67,96.29,1,0,90.86
2023-01-08 06:40:11.900654,15,85.85,0,179,30,74.59,10.01,96.88,0,1,98.97
2023-01-08 06:41:11.900654,15,92.99,0,199,38,94.07,11.38,85.47,0,1,84.75
2023-01-08 06:42:11.900654,13,80.56,0,184,31,83.04,18.79,87.72,0,1,79.54
2023-01-08 06:43:11.900654,10,93.39,0,227,20,84.5,11.37,86.6,1,0,79.48
2023-01-08 06:44:11.900654,9,97.45,0,234,29,90.99,17.71,96.19,0,0,80.63
2023-01-08 06:45:11.900654,8,89.11,0,216,31,78.79,18.02,96.41,0,1,98.71
